packet_size,duration,protocol,src_port,dst_port,is_malicious
665,0.891471012244686,1,3382,559,0
815,0.006456006732802243,0,27607,869,0
1071,1.4806766303158307,0,53521,875,0
1383,1.2123018668263599,0,29730,382,0
1374,0.9551710015191808,2,7384,22,0
1886,2.8741446278546268,2,54992,974,1
1274,0.7193313427458439,2,4767,953,0
209,1.2176771862680933,2,8183,595,0
1268,2.7360190079809104,2,33175,419,0
1428,0.47129248481710034,1,1542,472,0
1801,6.250414138079735,2,17676,234,1
1326,0.6456680049052318,0,13949,572,0
1108,4.981698961996373,2,48602,454,1
647,1.4392451781420088,0,50031,700,0
992,0.04651787323659309,2,55620,570,0
1789,5.3989996331829415,2,6499,771,1
1402,0.25714146677964306,0,37977,162,0
1019,3.7358869075761865,0,38953,301,1
1499,0.6317326325751191,0,43372,306,0
1454,1.4852432170898133,0,10910,2,0
668,0.1317054209608956,1,12489,271,0
337,0.9843617560434624,0,59757,421,0
1268,0.32638233184415916,2,54041,143,0
1277,1.9172002189592792,2,12245,700,0
703,2.636429863338222,1,25419,864,0
683,5.62634756777202,0,3359,853,0
1417,1.5896715722045398,2,37466,960,0
1376,2.331012921648374,1,5600,977,1
1156,0.2427096741359052,2,48764,994,0
461,0.40948376057141267,1,1524,736,0
583,0.6267651255798882,1,60029,1010,0
1621,8.559943173911808,0,27699,879,1
1429,2.4647025157884097,1,9107,692,0
1430,0.20965875625184804,2,42086,535,0
1156,2.5557689275707602,2,16744,867,0
971,1.189493642982676,0,6567,37,0
1124,0.9435867277082243,0,52922,107,0
1068,3.5379618143779537,1,4300,297,1
132,0.05712609616009457,0,53261,741,0
21,0.8404064241610267,2,31659,825,0
1063,3.0156607691519097,2,55911,97,1
239,0.2367119994772489,0,25204,281,0
1040,1.2463761407238514,0,7637,110,1
1415,4.568991148953703,0,45521,549,1
404,1.8022095543950314,1,2351,552,0
1446,2.6221732003356557,1,41564,597,0
1173,0.4555262296539482,2,11690,814,0
1096,0.38279831080531224,1,27279,188,0
856,3.482879483299052,1,64621,752,1
1900,4.746214143203684,1,21154,870,1
266,0.09162052538901244,1,23092,488,0
855,0.3324021137589548,2,50081,354,0
1482,0.5422858226794316,0,19970,19,0
222,0.34604086595509587,2,21571,859,0
1227,0.4037748937465554,1,20725,393,0
627,1.5181944864484493,0,52612,837,1
420,0.04238484762157219,0,6793,261,0
1103,2.6424510979989058,0,25907,985,1
313,0.9095445892344894,2,62364,410,0
299,1.0595362931359584,0,14687,403,0
903,0.2135768287243676,2,39710,670,0
669,4.04622481798107,2,51265,484,1
1001,0.966573818127815,1,38347,304,0
771,0.9153600862090057,1,36186,624,0
163,0.7058886278527982,0,23876,656,0
628,0.43141888752587987,0,21412,768,0
1244,2.4410544260576277,1,34458,967,0
1167,0.41516738681155924,2,23126,18,0
206,0.6081061969893584,2,22560,184,0
1369,1.1335573082180763,1,13379,405,0
483,0.7831187838631547,2,3258,799,0
1867,1.351389037609322,1,40127,897,1
679,0.5720714215723587,1,51412,131,0
783,1.582215905623548,0,51799,479,0
974,0.32590904180679847,0,32171,793,0
422,0.15344870600815938,1,51550,757,0
1389,0.3756585722295642,0,24683,8,0
284,4.085847938102241,1,45295,705,1
1191,0.09320109183678421,2,40151,318,0
883,4.791026788393859,2,17584,391,0
508,0.7787113846880778,2,47668,519,0
948,4.189473860214732,2,59721,136,0
1049,4.795615733453902,1,24112,531,1
467,1.7307701088769742,2,3952,913,1
891,0.22125917113096324,2,58993,651,0
660,0.18018557151376205,2,41409,367,0
741,1.0638466089871719,2,61022,489,1
170,1.238331841889355,1,41406,689,0
1458,0.31876002077621896,2,29208,11,0
1708,6.675610509214464,0,21123,998,1
282,0.5956191057306981,0,5298,553,0
163,2.4445252307620535,0,25994,446,0
643,1.4700836040706984,0,26768,114,1
643,0.005039228219626112,0,38763,692,0
1036,0.061977973210253896,0,63425,706,0
900,2.351421845889954,1,9413,196,0
21,1.0427513665962007,0,18376,1010,0
916,0.3188846755374778,2,62276,860,0
1347,0.19503300725749603,0,53331,737,0
273,0.3485179268121508,1,22172,843,0
966,0.5628194077570225,0,32852,323,1
1080,2.8392912520104243,2,3528,936,0
1203,1.5334318380839485,2,57819,773,0
1034,0.6206240779148308,1,59644,512,0
233,2.02255181979841,1,39798,628,1
1276,0.28695993897724215,1,29767,981,0
1142,1.2627345091226658,1,29918,662,0
835,1.9388625350273607,0,32019,630,0
227,0.4412509174361885,0,58138,165,0
1174,1.4166069626537052,2,41735,252,0
423,0.3496601045059183,1,51445,779,0
395,2.242732054696725,1,18772,44,1
177,1.1090676862960838,0,24124,470,1
1206,2.0147721892678936,1,34715,489,1
647,1.3082668758649802,2,50646,181,0
961,3.322224195543838,2,24005,77,1
1488,2.0916267777602937,1,33732,374,1
1465,1.9887641693987659,2,61384,628,0
123,1.728754525677222,2,11270,957,0
273,0.1903654861917285,0,46267,67,0
1270,0.6651768799263424,2,60419,525,0
1155,0.12434348589342972,1,33510,92,0
529,1.1461856523587524,1,31364,758,0
118,2.9937276490784313,2,20362,779,0
172,0.14744425269090283,1,51324,651,0
933,1.3238197088046693,0,4110,853,0
897,1.0003196994020178,2,26559,244,0
801,2.907032663675511,2,15884,341,1
1287,0.851843855793074,2,18037,903,1
1206,0.43870908806330455,1,8431,785,0
976,0.046304903459629856,1,34566,304,0
180,0.24578380388485724,2,25959,398,0
820,0.015293229861447858,1,42501,703,0
417,0.870880333594054,1,50103,448,0
1320,0.1118853515976686,2,35135,97,0
959,2.7778073996954746,2,57574,331,1
1435,0.7405386667995983,1,11185,205,0
1178,1.2029397016893124,2,24605,449,0
1238,0.529086496305908,2,33301,418,0
420,0.8222991687925186,2,22424,649,0
659,2.8587424650657547,2,12443,77,0
1076,0.08635781565138057,1,41589,896,0
707,0.2929462666053864,2,20307,549,0
479,1.514074674539855,0,1958,798,0
974,0.10395839562399153,2,35778,425,0
489,0.07867650391782555,0,22404,429,0
1418,0.44869844312769935,2,15040,485,0
1065,0.09669589378229294,0,56718,815,0
769,0.8796657939818169,0,39257,1022,0
57,0.2565390898507051,2,63682,135,0
249,2.26046438887627,2,23719,654,0
1408,1.5301651049588616,2,25976,254,0
582,1.2029906404717203,0,61928,560,0
457,0.9595741578800687,1,43758,255,0
1326,1.9911796360978533,1,16745,646,0
46,0.25239480508993173,2,2529,802,0
245,2.0644255896229993,1,6387,720,0
1413,4.507490086064222,1,49732,499,1
817,1.3789645951581233,2,44638,613,0
303,0.8238384457671115,0,2034,484,0
898,0.28268678433141037,2,48716,46,0
979,0.5508630580644953,1,47274,443,0
472,1.5777970778589243,0,20885,582,0
1039,0.03229437941125136,1,25149,648,0
835,1.5234931298463286,0,59598,792,0
766,3.8461544685484017,1,10393,579,1
566,0.15584618389080027,2,4881,4,0
1235,0.12296039804987048,1,27695,736,0
1092,0.02762817940307182,1,10888,1,0
36,0.7414690733505861,0,33514,290,0
1411,2.301916292775739,1,11144,109,1
1263,4.549902548838857,2,21247,777,0
630,0.9357465052731906,2,33174,575,1
496,0.14836691898033932,2,45162,460,0
1089,1.1671991237783774,0,54444,266,0
1416,2.2802715668182665,0,3577,138,0
537,1.367195885090287,1,16513,434,0
118,0.07951936076948893,1,60813,44,0
1080,2.2622513571021687,1,5413,886,0
299,1.5795363818430772,0,50727,510,0
1392,0.17233625638068142,0,22974,944,0
516,0.05317494646161848,1,12113,983,0
321,0.8148868277478213,0,43023,262,0
200,0.16964521578398192,0,55934,728,0
626,1.799333797739041,2,59252,633,0
1142,0.44368838327595433,2,63836,152,0
719,2.440611656481169,1,4075,213,0
1063,4.629769942829733,1,39114,1016,1
1159,0.20171526601788034,2,29829,234,0
210,0.15035656517822454,0,30466,863,0
272,0.8591366844995473,1,45581,623,0
1000,1.4349956990567536,1,3579,954,0
947,1.5209951125708592,1,51265,361,0
1204,0.322628865983532,0,13791,320,0
1299,0.22846613983063913,2,63326,222,0
1366,0.016898279582340546,1,1482,952,0
601,1.271966877589405,2,49493,738,1
294,1.838298623837808,2,17090,210,1
585,0.5460404542527145,0,5745,396,0
589,0.9205050095267359,0,13470,931,0
1366,2.7663513339682617,0,7328,583,0
705,0.3736788907612831,0,47357,489,0
645,0.2873783351799764,0,43991,872,0
1331,1.0617794847427378,0,35712,601,0
873,0.9655834814591334,1,14251,774,0
1001,2.3759229842807157,2,41486,961,1
251,4.207633005819549,0,55844,878,1
509,1.8634423465434415,1,7322,464,0
1429,0.25358026660996374,2,40421,700,0
804,0.2733092519831577,0,46511,624,0
1147,0.7180555275378216,0,38938,452,0
1436,1.4853287146737328,1,51179,413,0
380,2.770871451747666,2,53259,934,1
1219,1.181999833716214,0,11330,751,0
1082,1.0447944910609739,2,3613,476,0
778,0.2632888164208462,1,60511,256,0
557,1.1436714135394108,0,38102,150,0
940,2.81646857478081,2,36033,127,0
427,0.047915683859174656,1,55942,392,0
1035,1.2248796654367191,1,14625,831,1
847,0.5765679210026686,0,8735,480,0
922,2.295215901552552,2,22388,993,0
55,3.277073070702632,0,60454,397,0
704,0.5871942840876828,0,64351,923,0
39,1.3864080161471433,2,34730,402,0
340,0.7585629370535282,2,30634,274,0
531,0.7717206600176871,2,38093,845,0
419,0.32586798209096174,1,4994,982,0
673,0.2445667044298106,1,63405,958,0
991,0.3396848759186314,2,5023,910,0
490,0.8126697446474296,1,22058,139,0
1186,0.029588644289565556,0,56803,103,0
1135,2.3778361959572685,2,37200,242,0
1397,0.16993898965249626,0,47599,117,0
853,0.2485750540581533,2,42754,214,0
746,0.7303843093292514,0,17656,484,0
873,1.2382701803203462,2,14409,529,0
70,0.10062624529338822,0,58740,691,0
594,0.3822780637519447,2,6974,224,0
1279,6.981993952920572,2,36718,270,1
1168,0.3042762870350528,1,8999,1002,0
663,4.7934818048241326,0,54033,825,1
333,1.810933056993456,1,22338,861,0
589,0.05151903743449522,0,24422,134,0
1464,0.8096493846813642,1,26301,114,1
336,2.721213404071459,2,27785,441,1
701,0.38065556563531094,1,65459,644,0
857,0.33645166849540864,1,64968,651,0
1097,0.09582182601937925,2,32557,365,0
1022,0.3780822093192324,1,7990,232,0
463,0.04400664630706785,2,42925,458,0
632,1.518518556587867,0,62282,375,0
1097,7.4604640018465735,1,7611,604,1
283,0.5868140362346118,2,23904,779,0
1096,2.2404988241408104,2,6115,611,0
1023,1.073105326368696,1,42777,207,0
24,0.00809175345419748,0,32154,520,0
1146,2.8677757937408597,1,18085,468,0
1239,0.2706866050449802,2,23317,882,0
793,0.11385671161940496,0,2585,443,0
896,1.4615705530173795,1,54229,917,0
1011,0.6941022682444549,2,42436,321,0
903,0.5687559225230869,1,60834,93,0
1393,0.2870197314250235,0,48577,408,0
66,0.7929045119978101,0,65506,158,0
886,0.3207351637615549,0,4680,872,0
865,2.617633019498194,0,22642,99,1
955,0.24233207886806102,0,21554,225,0
675,2.1572314261494303,1,22896,852,0
288,0.8196301590958838,0,58257,441,0
389,1.7631028246544553,0,29354,720,0
655,1.2477366073530867,2,17163,585,0
1149,1.1930167465037074,0,64002,991,0
879,0.8883777853458964,2,34001,401,1
139,0.26643856407931843,2,6007,571,0
850,0.23684477040860388,2,40933,799,0
1101,1.9462518068308052,1,43910,64,0
1389,1.7171724675561213,1,65504,768,0
760,0.5808431772250798,2,50053,560,0
136,0.14202981758211583,1,22353,279,0
810,0.48167507957122924,0,58156,710,0
1265,5.742851830399173,1,37758,670,1
1436,0.6058749541410664,0,43861,823,0
1176,2.0683609175405744,0,9842,519,1
1101,6.041841314849345,1,11942,248,0
653,0.21211964898589222,1,43442,368,0
532,0.615539718139031,2,53000,744,0
821,0.5638465533769664,1,2274,618,0
1139,0.36311353115427814,1,5782,1006,0
1161,0.22076577636334552,1,38155,971,0
579,0.06794925533983535,0,3187,98,0
507,2.181423922764327,0,43607,268,0
1280,0.5444663434032329,0,35645,60,0
916,0.6869574137528206,2,18161,1020,0
1315,2.488216700377048,2,33127,500,0
1232,1.4974068432916816,2,22856,308,0
723,0.1398383990326563,0,2892,493,0
1490,0.8333751570099234,1,63527,1007,0
600,0.5838485272906607,2,50357,411,0
809,1.5955896072702715,2,51689,1018,0
880,1.288197332232794,0,49360,140,0
266,1.1724926190622618,2,42886,909,0
1119,0.4163412931841532,1,20752,328,0
173,1.634569739761324,0,39030,464,0
1478,0.053813621001895816,0,29053,702,0
1016,0.17390694090264686,1,40881,637,0
1591,0.8490696176946573,1,29207,925,1
716,0.07991744334449481,1,23809,163,0
1328,0.2678719648367705,2,63970,60,0
1263,1.7728453718395574,1,19964,925,0
1262,7.095995294340858,0,60507,31,1
1090,0.36327144706753733,1,56274,333,0
1028,0.30722622657984816,0,6304,76,0
222,0.3667184731180644,0,38036,755,1
977,0.3253411400682786,2,3188,317,0
1316,2.0744159784271634,1,56777,770,1
472,2.616150553252825,2,28212,417,0
1247,0.24041451647522324,1,48941,968,0
931,0.5447341997446268,1,64556,190,0
237,0.009734105799867299,1,15112,489,0
493,1.9516120102193264,1,19429,889,0
451,1.3136289941390855,1,3845,315,0
360,2.9328708174110454,0,56114,296,0
635,4.563690309271482,0,23540,501,1
1332,0.3764499177502826,1,11497,177,0
1297,0.2848505632647416,0,47478,1001,0
737,1.8310341882458483,2,43554,800,1
42,0.4527340505638212,2,39761,806,0
541,0.8352062956481543,2,60340,860,0
1143,0.006277131055913898,1,13202,719,0
821,0.06388348418030329,1,60612,215,0
1223,0.7665094579735908,0,39960,856,0
1266,0.8348758424915398,0,28042,653,0
781,1.3921230930589754,0,18121,597,0
461,0.14152361076966619,2,15120,694,0
788,0.719867168589165,2,40995,332,0
1035,0.21622708087548423,2,4569,128,0
1368,0.09782908109313605,2,25822,269,0
535,0.5284734242728347,0,1887,551,0
1449,4.560395369015887,1,17172,535,1
1033,3.7164581391671314,1,22033,754,1
355,0.382072725625598,2,55483,366,0
277,0.3002789486528123,1,18833,619,0
809,2.3804561300568468,1,19712,348,1
915,0.09421864509082307,1,1677,142,0
179,0.2147407232088884,2,59527,145,0
871,0.05188208659644597,0,9153,792,0
1000,2.1433715941993787,0,27442,245,1
399,0.3387321915090622,1,24142,442,0
976,0.3281513066563162,0,1467,703,0
710,0.4034645519124719,0,28065,290,0
1470,1.0870680037153648,2,24867,691,0
1311,2.045108766466717,2,22077,112,0
1460,1.4233191265636467,1,31872,214,0
1211,1.3002239375134241,1,38898,650,0
1086,0.6624069126420685,1,38228,886,0
304,1.1835349440859106,2,53033,200,0
416,0.8046652104884366,0,43264,405,0
31,0.2436658609574396,2,36831,421,0
1345,0.23393705180809046,2,62163,7,0
1296,0.35153390585819577,0,29237,858,0
518,2.416904183452264,0,62126,525,0
773,0.7927793354933343,1,9315,592,0
488,2.5687257161097814,0,44070,286,1
746,0.42550266551758004,0,17309,671,0
868,0.523768642197926,0,27910,389,0
109,0.13417797720071403,0,62613,416,0
795,0.187890986702149,1,14968,784,0
998,3.4140278616603155,1,36529,1007,1
989,0.8790879950259509,0,24364,713,0
1041,0.4117837274302005,0,31049,150,0
539,2.898294446092405,1,55415,960,1
134,0.2830526788331939,1,2631,1015,0
636,3.731064819276881,0,64730,428,0
1239,0.42284162065385117,2,3977,808,0
845,0.4114494096024003,1,45965,1005,0
1146,1.2225572088194803,1,6957,293,1
432,0.13023570471692822,1,12410,334,0
1445,1.9903110841566607,0,62707,272,1
1929,2.3836555878940215,0,49013,43,1
748,2.080386344329705,1,5706,468,0
1320,1.5631294454706732,0,48645,319,0
1040,0.1521116198154101,0,45076,492,0
780,0.7887380677014347,1,56509,527,0
695,0.11159272445316526,0,57568,760,0
1437,0.046352513449296,2,12178,172,0
476,1.0682359354253916,0,61030,730,0
1325,1.2040657445462355,0,10071,649,1
211,0.08558368957845029,1,24017,321,0
758,0.03556422253262573,1,11362,739,0
1362,9.282607011688572,2,15347,44,1
997,0.03048119963279373,0,38717,532,0
1028,0.5879375317722403,2,59754,1005,0
115,0.7024281651828355,2,65508,631,0
682,0.12474739689554747,1,24658,454,0
1233,0.18519982917627406,0,27316,746,0
56,0.4335637118626047,1,39575,970,0
1412,1.4341236671587665,2,46135,880,0
565,1.5524775347021658,2,10941,891,1
236,1.0158400391169589,1,11169,929,0
886,4.211410323801596,1,30741,848,0
892,1.4610413356644483,1,40515,868,0
1316,0.569800094123287,1,50360,774,0
81,0.591388603334583,1,17929,83,0
1063,2.763908296019129,2,31297,543,1
748,1.0947155162141913,1,60679,322,0
1385,0.6945700440235693,0,51424,786,0
416,1.0352466442487371,2,27258,234,0
718,0.023813805628802795,2,14373,540,0
1062,0.561457494656059,0,2026,252,0
196,0.32703025921803247,0,40058,836,0
415,0.13831360375365995,2,33597,765,0
464,0.10485676790311797,1,28827,449,0
1276,0.9243031598516793,2,56620,239,0
95,0.7414985900167895,2,65344,490,0
284,0.29247235019573103,0,64481,882,0
494,3.6800597306622658,2,12354,464,1
737,0.6777312493544942,1,27528,941,0
754,0.21692415745016783,0,16004,314,0
1427,1.0558202541706985,2,8041,175,0
870,1.5183153812678025,2,42377,706,0
1410,1.5676413891909424,1,17035,180,0
163,0.9224844501664567,2,19025,932,0
904,0.716699537652756,2,62009,385,0
1112,0.06294740683730714,2,18068,295,0
1301,6.435803948519421,2,39316,215,1
415,0.0979121534596628,1,57792,986,0
1068,3.3193361681846207,2,6274,715,0
967,0.14511843093921514,2,62532,762,0
1034,2.4581990230033433,2,41304,874,1
1194,2.2034333770789085,0,24313,769,0
1187,2.8811237553764664,1,34111,75,0
790,2.033082477317801,0,11440,344,1
1082,0.005419583118608269,0,26183,714,0
128,0.0013471779934776423,1,37392,142,0
1085,0.47497720867246584,0,56136,718,0
1397,5.797828527154848,0,6303,199,1
1202,0.019455526022958032,0,26181,919,1
537,3.442430219643437,1,62064,171,1
1266,2.8657905206058287,2,51943,406,0
1091,4.134029083879791,1,59924,828,1
1176,1.082170238345595,1,16518,228,0
1206,1.0562293301078083,1,51974,411,0
1258,0.2891232486677425,0,46190,952,0
752,1.0510378598451187,2,26598,898,0
254,0.23868110420073044,1,26357,935,0
677,0.13011712909210954,1,34074,691,0
890,1.8660353388273268,2,33287,878,1
607,0.12040739552016899,2,33563,787,0
1052,5.7793313363384,2,15054,62,0
1560,2.75748738451497,0,23745,327,1
973,0.9017515960965781,2,49094,716,0
511,0.5299652423024624,0,6190,963,0
932,0.13511713199421888,1,8145,959,0
1296,0.02823889850259089,0,15701,879,0
1273,0.9748002170104679,2,57585,133,0
1217,1.6438097321984506,0,32265,584,0
1336,2.5180396306025647,2,17397,590,1
189,0.6591583473088182,0,22897,189,0
1436,1.5026280499077835,1,38688,356,0
965,1.1173277356339972,0,65414,71,0
814,1.2882770398378336,1,50306,263,0
653,0.6784536712785032,2,2317,306,0
1706,1.5095459442740855,1,23467,558,1
48,1.6374563565532807,2,40749,224,0
1208,0.5073054527727697,2,50236,328,0
1655,4.410345045870535,1,19619,762,1
358,0.8965293867758158,1,10764,588,0
1408,0.18140320785040268,0,13583,74,0
1385,0.024993919133828587,0,43765,511,0
519,0.45059888564246464,1,40068,142,0
686,6.111103968269787,1,22771,585,1
1370,1.8314592948871726,1,41944,102,0
236,0.1363762125935283,1,8997,606,0
1344,1.6104701834604507,2,16357,581,0
1436,2.4001850809764402,1,31153,65,1
1532,1.9465013347299114,1,1061,193,1
1295,1.9078056693603374,1,39782,953,0
1458,4.762241374678442,1,33335,62,0
464,1.297693295531871,2,39230,532,0
895,1.5360465769048048,0,57853,241,0
1304,10.290058353324337,0,49527,715,1
368,3.567479442864224,0,29231,410,1
463,1.7417097841859703,0,44648,300,1
733,1.8172670433771472,0,34265,195,0
211,1.2331019273109303,2,1082,454,1
1461,1.6130569849822118,0,3660,574,1
1494,0.29254126658850793,2,31659,619,0
192,1.4119579502452781,2,15858,637,0
672,0.08519550943197778,0,16601,301,0
773,2.5808063378076818,0,64382,779,0
1550,2.714220950711351,0,52790,456,1
1101,0.13670746275977452,1,28214,989,0
495,0.5840534017931984,2,8320,202,0
475,0.043398132057199786,0,22407,674,0
848,1.1539966588373323,1,46462,856,0
1191,2.5626028385874067,2,59779,302,1
1404,1.81561992206125,1,25684,1021,0
1044,0.13624303546181252,1,43517,624,0
406,0.13498517698021437,0,53973,337,0
367,1.6789728003797089,2,3698,32,0
209,2.5803732665890844,1,49588,971,0
799,1.6269958301941436,2,44857,98,1
1234,0.6910915286882932,0,23844,984,0
1412,0.3831099198777335,2,20528,759,0
1452,2.2468204335114175,1,26690,773,0
843,1.035364020684013,1,44818,191,0
994,4.522885482735491,2,62592,541,1
953,0.3549376981875698,1,3100,48,0
1160,2.2182446161009834,1,64032,1008,0
153,0.013727820737667998,1,53366,250,0
77,0.389680206849453,0,38579,226,0
704,0.8082363805886311,0,56232,272,0
691,0.16042402193716063,1,33430,665,0
192,0.09661966642736257,2,62596,485,0
1264,5.650945087312186,0,41286,328,1
1192,2.2481384677450524,2,26808,797,0
99,1.7350375351546155,1,53753,180,0
1152,2.6070819674965184,1,22149,814,1
1611,3.0511201083117316,2,24240,665,1
222,1.672687243549508,0,3605,746,0
783,0.48457753601167597,2,16624,23,0
1272,1.0974165882399827,2,31308,930,0
1270,4.495018989015621,1,21195,963,0
